month	lesson	phrase	eng	den	audio
7	3	1	 one 	ts’iłq’i	mar-03-01.mp3
7	3	2	two	  nutiha	mar-03-02.mp3
7	3	3	three	 tuq’i	mar-03-03.mp3
7	3	4	four	 denk’i	mar-03-04.mp3
7	3	5	 five 	 ch’qilu	mar-03-05.mp3
7	3	6	How many (little) spruce do you see? 	Dahdi ch’bala ggwa dninł’an?	mar-03-06.mp3
7	3	7	How many (little) spruce do you see? 	Dahdi ch’bala q’u dninł’an?	mar-03-06b.mp3
7	3	8	I see one spruce tree.	  Ts’iłq’i ch’bala dneł’an.	mar-03-07.mp3
7	3	9	I see three spruce trees.	 Tuq’i ch’bala dneł’an.	mar-03-08.mp3
7	3	10	I see lots of spruce.	  Dnaghelt’ayi gheli ch’bala dneł’an.	mar-03-09.mp3
7	3	11	I don’t see any standing spruce.	Ch’bala (qaday’uyi k’a) nch’u eydneł’an duhti.	mar-03-10.mp3
7	3	12	I don’t see any spruce.	Ch’bala nch’u eydneł’an duhti.	mar-03-10b.mp3
5	3	1	This is a cup.	 Ginidi chashga łu ghu.	jan-03-01.mp3
5	3	2	This is a cup.	 Ginidi chasga shi.	jan-03-01b.mp3
5	3	3	A spoon is here too. 	 Lugheshga k’a gu deytun.	jan-03-02.mp3
5	3	4	A plate is here too.	Ts’uk’ k’a gu daytun.	jan-03-03.mp3
5	3	5	 A blanket is here too.	Ch’da k’a gu ełkits.	jan-03-04.mp3
5	3	6	A cane is here too.	Tets’ k’a gu daytun.	jan-03-05.mp3
5	3	7	Is this your cup? 	Gini nchashga di?	jan-03-06.mp3
5	3	8	Yes, it is my cup.	Aa’ shchashga shi.	jan-03-07.mp3
5	3	9	Yes, it is my cup.	Gini shi shchashga shi.	jan-03-07b.mp3
5	3	10	This is not my cup.	Gini shchashga k’a nch’u dghileyi łu ghu.	jan-03-08.mp3
3	5	1	What are you(plural) drinking here?	Yada du gu ehtnuni shi?	nov-05-01.mp3
3	5	2	We are drinking water. 	  (Ghu) Biłni ch’etnun.	nov-05-02.mp3
3	5	3	What are they drinking here?	Yada du gu hyetnuni?	nov-05-03.mp3
3	5	4	They are drinking water.	Biłni qetnun.	nov-05-04.mp3
3	5	5	That woman is drinking spring water. 	 K’isen ghun ki tuq’ets’ tnun.	nov-05-05.mp3
9	1	2	It is really raining.	 Kisht’a gheli ełkun.	may-01-02.mp3
9	1	3	It is still raining.	 Ts’iq’u ełkun.	may-01-03.mp3
9	1	4	Is it muddy?	  Łak’inshtleq’a qilan lagit?	may-01-04.mp3
9	1	5	It is really muddy.	 Kisht’a gheli łak’inshtleq’a qilan.	may-01-05.mp3
9	1	6	Is it cloudy?	 Qaqininik lagit?	may-01-06.mp3
9	1	7	 It is really cloudy. 	 Qaqininik ka’a gheli eq’.	may-01-07.mp3
9	1	8	 It is really cloudy. 	 Qaqininik.	may-01-07b.mp3
9	1	9	Has the ice broken up? 	 Ten ghin k’i (la) qundelcheni lagit?	may-01-08.mp3
9	1	10	The ice has broken up. 	 Ten ghin k’i qundelcheni łu ghu.	may-01-09.mp3
9	1	11	The ice has broken up. 	 Ten qundelchen.	may-01-09b.mp3
9	1	12	The ice has not broken up.	 Ten ghin k’i nch’u qundelchen duhti.	may-01-10.mp3
9	1	13	Is that ice melting? 	 Nu’idziłi lagit ten ghin k’i?	may-01-11.mp3
9	1	14	Is that ice melting? 	 Ten ghin k’i nu’idziłi lagit ?	may-01-11b.mp3
9	1	15	That ice is melting.	 Ten ghin k’i nu’idzili łu ghu.	may-01-12.mp3
9	1	16	It is a really nice outside.	 Uch’ih ghuh k’i yagheli duhti.	may-01-13.mp3
9	1	17	It is a really nice outside.	 Uch’ih ghu k’i yaghelehki.	may-01-13b.mp3
9	1	10	2title: June Lesson 2: Walking Around
9	1	1	What is s/he doing?	Yada t’eł’anen din?	jun-02-01.mp3
9	1	2	He/she is walking around.	 Nugheyuł(en lagi).	jun-02-02.mp3
9	1	3	Where is s/he walking around?	 Daha q’u nugheyułen din?	jun-02-03.mp3
9	1	4	S/he is walking around by the lake shore.	  Ben bugh nugheyuł.	jun-02-04.mp3
9	1	5	S/he is walking around by the creek shore.	 K’etnu q’ebugh nugheyuł.	jun-02-05.mp3
9	1	6	S/he is walking around on the mountain. 	 Dghelay q’e nugheyuł	jun-02-06.mp3
9	1	7	S/he is walking around on the hill. 	 Tes q’e nugheyuł	jun-02-07.mp3
9	1	8	What are you doing? 	 Nenh yada t’enł’an dit?	jun-02-08.mp3
9	1	9	I am walking around. 	 Nugheshuł	jun-02-09.mp3
9	1	10	I am walking around by the lake shore. 	 Ben bugh nugheshuł	jun-02-10.mp3
9	1	11	I am walking around on the mountain too. 	 Dghelay k’a q’e nugheshuł	jun-02-11.mp3
1	6	1	What are you doing? 	Yada q’u t’enł’an?	sept-06-01.mp3
1	6	2	I am fishing. 	łiq’a t’eł’an.	sept-06-02.mp3
1	6	3	I am picking berries.	Gega inesha’.	sept-06-03.mp3
1	6	4	What is that child (boy) doing?	 Ch’anigen ghun(hti) yada t’eł’anen din?	sept-06-04.mp3
1	6	5	 That child is fishing. 	 (Ch’anigen ghun) łiq’a t’eł’an.	sept-06-05.mp3
1	6	6	What is that woman doing?	 K’isen ghun yada t’eł’anen din?	sept-06-06.mp3
1	6	7	That woman seems to be picking berries.	 K’isen ghun ki k’ineyayi q’ent’a.	sept-06-07.mp3
1	6	8	That woman is picking berries.	 K’isen ghunen k’ineya.	sept-06-07b.mp3
2	7	1	What will you hunt for?	Yada q’u ihu shtutghiyuł?	oct-07-01.mp3
2	7	2	I am going (hunting) for moose.	Dnigi ihu tgheshuł.	oct-07-02.mp3
2	7	3	What is the man going for?	Yada q’u quht’ana ghun (k’i) ihu teyushen din?	oct-07-03.mp3
2	7	4	The man is going for caribou.	(Quht’ana ghin k’i q’u) ghenuy ihu teyushen shin’i.	oct-07-04.mp3
8	6	1	Where is the dog sitting?	Łik’a ghinhti daha q’u eydu?	apr-06-01.mp3
8	6	2	That dog is sitting upon its house.	 Łik’a ghin k’i beqenq’a hq’eydeq deydu.	apr-06-02.mp3
8	6	3	That dog is sitting in its house.	 Łik’a ghin k’i (be)qenq’a yuh qiydu.	apr-06-03.mp3
8	6	4	That dog is sitting in front of its house.	  Łik’a ghin k’i (deqenq’a) hdakat eydu.	apr-06-04.mp3
8	6	5	That dog is sitting behind its house.	 Łik’a ghin k’i (be)qenq’a qiniq’ eydu.	apr-06-05.mp3
8	6	6	That dog is sitting beside its house.	 Łik’a ghin k’i qenq’a hyiseh q’eyeq’ eydu.	apr-06-06.mp3
8	6	7	That dog is sitting on it (house).	 Łik’a ghin k’i q’eyeq’ gu eydu..	apr-06-07.mp3
